ProductCode	ProductName	Price	Quantity
401176106L	MAXLTE 5 21IN EX SPNR SL GREEN	43.28	0
401176107	MAXLTE 5 21IN EX SPNR DUS ROSE	65.8	50
401176107L	MAXLTE 5 21IN EX SPNR DUS ROSE	43.28	0
401176127	MAXLTE 5 21IN EX SPNR AZUR BLU	65.8	50
401176127L	MAXLTE 5 21IN EX SPNR AZUR BLU	43.28	0
401176501	MAXLTE 5 25IN EXP SPINNER BLK	75.2	50
401176501L	MAXLTE 5 25IN EXP SPINNER BLK	50.15	0
401176504	MAXLTE 5 25IN EXP SPINR BROWN	75.2	0
401176506	MAXLTE 5 25IN EX SPNR SL GREEN	75.2	50
401176506L	MAXLTE 5 25IN EX SPNR SL GREEN	50.15	0
401176507	MAXLTE 5 25IN EX SPNR DUS ROSE	75.2	50
401176507L	MAXLTE 5 25IN EX SPNR DUS ROSE	50.15	0
401176527	MAXLTE 5 25IN EX SPNR AZUR BLU	75.2	50
401176527L	MAXLTE 5 25IN EX SPNR AZUR BLU	50.15	0
401176701	MAXLTE 5 INTL C/O SPNR BLACK	65.8	50
401176701L	MAXLTE 5 INTL C/O SPNR BLACK	42.57	0
401176704	MAXLTE 5 INTL C/O SPNR BROWN	65.8	0
401176706	MAXLTE 5 INTL C/O SPR S. GREEN	65.8	50
401176706L	MAXLTE 5 INTL C/O SPR S. GREEN	42.57	0
401176707	MAXLTE 5 INTL C/O SPR DUS.ROSE	65.8	50
401176707L	MAXLTE 5 INTL C/O SPR DUS.ROSE	42.57	0
401176727	MAXLTE 5 INTL C/O SPR AZUR BLU	65.8	50
401176727L	MAXLTE 5 INTL C/O SPR AZUR BLU	42.57	0
401176901	MAXLTE 5 29IN EXP SPINNER BLK	84.6	50
401176901L	MAXLTE 5 29IN EXP SPINNER BLK	55.38	0
401176904	MAXLTE 5 29IN EXP SPINR BROWN	84.6	0
401176906	MAXLTE 5 29IN EX SPNR SL GREEN	84.6	50
401176906L	MAXLTE 5 29IN EX SPNR SL GREEN	55.38	0
401176907	MAXLTE 5 29IN EX SPNR DUS ROSE	84.6	50
401176907L	MAXLTE 5 29IN EX SPNR DUS ROSE	55.38	0
401176927	MAXLTE 5 29IN EX SPNR AZUR BLU	84.6	50
401176927L	MAXLTE 5 29IN EX SPNR AZUR BLU	55.38	0
401177301	MAXLTE 5 C/O ROLL DUFFLE BLK	56.4	50
401177301L	MAXLTE 5 C/O ROLL DUFFLE BLK	33.09	0
401177306	MAXLTE 5 C/O ROL DFFL SL GREEN	56.4	50
401177327	MAXLTE 5 C/O ROL DFFL AZUR BLU	56.4	50
401177701	MAXLTE 5 UNDERSEAT BAG BLACK	56.4	50
401177701L	MAXLTE 5 UNDERSEAT BAG BLACK	35	0
401177706	MAXLTE 5 UNDRSEAT BAG SL GREEN	56.4	0
401177706L	MAXLTE 5 UNDRSEAT BAG SL GREEN	35	0
401177707	MAXLTE 5 UNDRSEAT BAG DUS ROSE	56.4	50
401177727	MAXLTE 5 UNDRSEAT BAG AZUR BLU	56.4	50
401177727L	MAXLTE 5 UNDRSEAT BAG AZUR BLU	35	0
401179001	MAXLTE 5 HS C/O SPINNER BLACK	65.8	50
401179006	MXLTE 5 HS C/O SPINNER SLT GRN	65.8	50
401179007	MXLT 5 HS C/O SPINNER DUS ROSE	65.8	50
401179027	MAXLTE 5 HS C/O SPINNER AZR BL	65.8	50
401179101	MXLTE 5 HS EXP C/O SPINNER BLK	70.5	50
401179106	MXLT 5 HS EXP C/O SPNR SL GRN	70.5	50
401179107	MXLT 5 HS EXP C/O SPNR DUS ROS	70.5	50
401179127	MXLT 5 HS EXP C/O SPNR AZR BLU	70.5	50
401179501	MAXLTE 5 HS 25IN EXP SPINR BLK	84.6	50
401179506	MXLT 5 HS 25IN EXP SPN SL GRN	84.6	50
401179507	MXLT 5 HS 25IN EXP SPN DUS ROS	84.6	50
401179527	MXLT 5 HS 25IN EXP SPN AZR BL	84.6	50
401179701	MAXLTE 5 HS INTL C/O SPNR BLK	65.8	50
401179702	MXLTE 5 HS INTL C/O SPNR MD BL	65.8	50
401179706	MXLTE 5 HS INTL C/O SPNR SL GN	65.8	50
401179707	MXLTE 5 HS INTL C/O SPNR D ROS	65.8	50
401179727	MXLTE 5 HS INTL C/O SPNR AZ BL	65.8	50
401179901	MAXLTE 5 HS 29IN EXP SPINR BLK	94	50
401179906	MXLTE 5 HS 29IN EXP SPN SL GRN	94	50
401179907	MXLT 5 HS 29IN EXP SPN DUS ROS	94	50
401179927	MXLT 5 HS 29IN EXP SPN AZ BLU	94	50
40117J3A01	ML5 HS 3PC EXP SPNR SET BLK	233.2	0
40117J3A06	ML5 HS 3PC EXP SPNR SET SL GRN	233.2	0
40117J3A07	ML5 HS 3PC EXP SPNR SET D ROSE	233.2	0
40117J3B01	ML5 3PC EXP SPNR SET BLK	211.2	0
40117J3B06	ML5 3PC EXP SPNR SET SL GRN	211.2	0
40117J3B27	ML5 3PC EXP SPNR SET AZR BLU	211.2	0
409150101	PM2 CPF BUSINESS BRIEF BLACK	84.6	0
409150106	PM2 CPF SLIM BRIEF OLIVE	84.6	0
409150401	PM2 BIFOLD HANGING GARMENT BAG	117.5	50
409150601	PM2 CPF BUSINESS BACKPACK BLK	89.3	0
409150601L	PM2 CPF BUSINESS BACKPACK BLK	47.78	0
409150606	PM2 CPF BUSINESS BACKPACK OLV	89.3	0
409150606L	PM2 CPF BUSINESS BACKPACK OLIV	47.78	0
409151101	PM2 BIFOLD GARMENT VALET BLK	70.5	50
409151101L	PM2 BIFOLD GARMENT VALET BLK	42.18	0
409151301	PM2 SPINNER TOTE BLACK	131.6	0
409151301L	PM2 SPINNER TOTE BLACK	79.95	0
409151306	PM2 SPINNER TOTE OLIVE	131.6	50
409151306L	PM2 SPINNER TOTE OLIVE	79.95	0
409151401	PM2 LADIES BUS TOTE BLK	79.9	0
409151401L	PM2 LADIES BUS TOTE BLK	50.91	0
409151406	PM2 LADIES BUS TOTE OLIVE	79.9	0
